Voltage (V),Current (A),Power Factor (PF),Frequency (Hz),Transformer Load (%),Reactive Power (kVAR),Active Power (kW),Harmonic Distortion (%),Battery Storage Level (%),Smart Meter Readings (kWh),Outage Frequency (events/year),Mean Time Between Failures (MTBF in hours),Previous Fault Occurrences (count),Load Variability Index,Fault Type,Weather Conditions - Temperature (°C),Weather Conditions - Wind Speed (km/h),Weather Conditions - Humidity (%),Weather Conditions - Precipitation (mm),Solar Radiation (W/m²),Energy Demand Forecast (MW),Grid Interconnection Status,Grid Stability,Failure Risk
211.98068635037671,187.10922213470678,0.9188369573971484,49.85120412287044,90.19449164654628,86.68229422644359,184.13005428063775,1.9079462423088356,38.3636222551577,34.77004854868909,4,1220.176196575809,0,0.5406070936371111,None,20.223795799985297,48.59577527879876,68.653829288514,132.75510499271823,43.00974303406957,81.50264818547585,0,1,High
248.09403065745306,390.7924506799264,0.7744133988886601,49.73997570798431,78.60158879642387,95.10017464911733,296.88588074519987,0.22989766475499218,78.40397070721983,43.77683164774009,5,1936.7283037880607,1,0.6848040779986945,Voltage Sag,31.898393312130406,93.173555073364,86.997947516989,116.78898646838422,876.2352676017485,122.32450123836995,1,1,Medium
248.99181470252432,458.92127908456246,0.9191683005139695,49.97054756655979,88.77842481648767,34.43659841720056,244.35090500647973,4.786893719396119,64.0620539705998,8.973093018390754,4,1555.1297850937212,0,0.8090836478845521,None,19.368538319443513,26.852791645355932,98.01058798815772,88.66101584643953,186.03573871303303,51.74829519767516,1,0,Medium
228.30170651184636,315.0953411744981,0.8609663731016511,50.07807768748176,60.71535313106124,27.123383061640325,233.46850571968426,2.768695847642195,33.85726075664749,21.811600439283673,3,1037.4577441665197,1,0.7885517620644865,Voltage Sag,16.57054505317327,10.155988407775752,72.21451523519882,180.6081910371583,559.2348959039101,53.38968518812051,1,0,High
226.90975057824033,424.2254487362876,0.9509214566172525,49.69383751259402,97.07290377209398,64.52371505255745,289.3733227148065,1.364140696196034,69.18965925925097,2.4696011154701436,0,1300.377066389049,0,0.6328666224224125,Frequency Drift,21.570968447672225,52.75307259413427,21.687652658919745,90.24683418775446,151.10452880277424,108.41150568414521,1,1,Low
227.55616091939316,121.91866978564713,0.7830196256169344,49.80916379648114,98.76865672537576,16.55945899110077,414.7778603082551,3.2661289737916355,31.283691077925212,12.047487344542917,3,1192.4869442016543,1,0.17242450189169545,Frequency Drift,9.173869745145012,5.5193899897438286,99.79448309967319,54.40232505655891,644.5554698002184,67.63680320128921,1,1,Medium
249.91093396230872,396.8061142472304,0.9702251889462044,50.349180076750585,66.13724406582487,67.95022041218164,442.2136183506318,4.638987741649993,30.382029909118508,26.42063437412199,2,1302.820052713103,2,0.17893375076990697,Voltage Sag,4.582029367989429,36.33994962276851,22.878830421942098,67.5460979908886,622.2022757841501,140.51867264782177,1,1,Medium
238.40365845676357,87.20103312891422,0.8747291974750041,50.339296306873834,87.56711196338523,49.45783792677706,407.5081882751529,2.4907956470868027,76.67572727379628,33.726193960072514,0,1431.5941507768275,0,0.8072169200322896,Voltage Sag,20.93592086629411,16.596663276963174,85.57191570251426,151.4019354050429,701.9975261258679,95.66535414429077,1,0,Low
218.60652920890686,417.16772286647694,0.9337446543881968,50.137763794368595,93.94921347467081,51.5647004160657,238.37047985568657,1.1979075483698542,45.82086248282144,5.310678604340701,3,1275.6052588163454,2,0.41708870220729466,None,12.290429600679209,50.76713742363887,73.18508227976099,46.11025895882097,368.2935851557335,133.72026769534122,1,1,Low
243.19967321665848,214.81671171689482,0.912043369851333,50.06024843860711,75.14517725666182,54.99051060515237,180.81346504908518,4.462962900515728,39.31613366460209,72.39545173922161,1,1286.7948401140816,2,0.8553100473192403,Voltage Sag,6.495001595050556,82.53678178944467,66.34535674623167,151.9561816057004,668.1035600470977,70.89804256114572,1,0,High
220.3386115978306,395.1718124999129,0.9841517959822929,50.40314399233602,92.52392792850887,30.702258664198244,440.4377655545619,3.415473245299771,32.05187820435304,59.46031108980536,1,1699.1667927726453,3,0.7629677996748199,None,4.306839333197514,83.23399954908727,26.4937306171094,162.55428648495206,898.8707993114742,101.6112256949747,0,1,Low
